TRANSLATION AND INTERPRETATION SERVICES,F
ABRASIVE PRODUCT MANUFACTURING,F
ADMINISTRATION OF CONSERVATION PROGRAMS,F
ADMINISTRATION OF EDUCATION PROGRAMS,F
ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS,F
ADMINISTRATION OF PUBLIC HEALTH PROGRAMS,F
ADMINISTRATION OF VETERANS' AFFAIRS,F
ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,F
ADVERTISING AGENCIES,F
AIR AND GAS COMPRESSOR MANUFACTURING,F
AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,F
AIRCRAFT MANUFACTURING,F
ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,F
ALL OTHER ANIMAL PRODUCTION,F
ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,F
ALL OTHER BUSINESS SUPPORT SERVICES,F
ALL OTHER CONSUMER GOODS RENTAL,F
ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,F
ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,F
ALL OTHER INFORMATION SERVICES,F
ALL OTHER INSURANCE RELATED ACTIVITIES,F
ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING,F
ALL OTHER LEGAL SERVICES,F
ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES,F
ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,F
ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,F
ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,F
ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,F
ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,F
ALL OTHER MISCELLANEOUS MANUFACTURING,F
ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,F
ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,F
ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,F
ALL OTHER OUTPATIENT CARE CENTERS,F
ALL OTHER PERSONAL SERVICES,F
ALL OTHER PLASTICS PRODUCT MANUFACTURING,F
"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",F
ALL OTHER PUBLISHERS,F
ALL OTHER RUBBER PRODUCT MANUFACTURING,F
ALL OTHER SPECIALTY TRADE CONTRACTORS,F
ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,F
ALL OTHER SUPPORT SERVICES,F
"ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING",F
AMBULANCE SERVICES,F
AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,F
ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,F
ANIMAL (EXCEPT POULTRY) SLAUGHTERING,F
APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,F
APPLIANCE REPAIR AND MAINTENANCE,F
APPRENTICESHIP TRAINING,F
ARMORED CAR SERVICES,F
ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING,F
ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING,F
ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING,F
AUDIO AND VIDEO EQUIPMENT MANUFACTURING,F
"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",F
AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,F
AUTOMOBILE DRIVING SCHOOLS,F
AUTOMOBILE MANUFACTURING,F
BALL AND ROLLER BEARING MANUFACTURING,F
BARE PRINTED CIRCUIT BOARD MANUFACTURING,F
BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,F
BIOMASS ELECTRIC POWER GENERATION,F
BITUMINOUS COAL UNDERGROUND MINING,F
BLIND AND SHADE MANUFACTURING,F
BLOOD AND ORGAN BANKS,F
BOAT BUILDING,F
"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",F
BOOK PUBLISHERS,F
"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",F
BOOKS PRINTING,F
BOTTLED WATER MANUFACTURING,F
BREAKFAST CEREAL MANUFACTURING,F
BROADWOVEN FABRIC FINISHING MILLS,F
BROADWOVEN FABRIC MILLS,F
BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS,F
CABLE AND OTHER SUBSCRIPTION PROGRAMMING,F
"CAFETERIAS, GRILL BUFFETS, AND BUFFETS",F
CANVAS AND RELATED PRODUCT MILLS,F
"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",F
CARBON AND GRAPHITE PRODUCT MANUFACTURING,F
CARBON PAPER AND INKED RIBBON MANUFACTURING,F
CATERERS,F
CEMETERIES AND CREMATORIES,F
CHARTER BUS INDUSTRY,F
CHEESE MANUFACTURING,F
CHILD AND YOUTH SERVICES,F
CLAIMS ADJUSTING,F
COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION,F
COASTAL AND GREAT LAKES PASSENGER TRANSPORTATION,F
"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",F
"COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",F
COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,F
COMMERCIAL BAKERIES,F
COMMERCIAL BANKING,F
COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),F
COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,F
COMMUTER RAIL SYSTEMS,F
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,F
COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,F
COMPUTER AND SOFTWARE STORES,F
COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,F
COMPUTER TERMINAL MANUFACTURING,F
COMPUTER TRAINING,F
CONSUMER ELECTRONICS AND APPLIANCES RENTAL,F
CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,F
CONTINUING CARE RETIREMENT COMMUNITIES,F
CONVENTION AND TRADE SHOW ORGANIZERS,F
CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,F
COOKIE AND CRACKER MANUFACTURING,F
"COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING",F
CORRECTIONAL INSTITUTIONS,F
CORRUGATED AND SOLID FIBER BOX MANUFACTURING,F
COURIERS AND EXPRESS DELIVERY SERVICES,F
COURT REPORTING AND STENOTYPE SERVICES,F
CREAMERY BUTTER MANUFACTURING,F
CREDIT BUREAUS,F
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,F
CURRENT-CARRYING WIRING DEVICE MANUFACTURING,F
CUSTOM COMPOUNDING OF PURCHASED RESINS,F
CUSTOM COMPUTER PROGRAMMING SERVICES,F
CUT AND SEW APPAREL CONTRACTORS,F
CUT STONE AND STONE PRODUCT MANUFACTURING,F
CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING,F
DEEP SEA FREIGHT TRANSPORTATION,F
DEEP SEA PASSENGER TRANSPORTATION,F
DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,F
DENTAL LABORATORIES,F
DIAGNOSTIC IMAGING CENTERS,F
DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS,F
DIRECT LIFE INSURANCE CARRIERS,F
DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS,F
DOCUMENT PREPARATION SERVICES,F
"DOLL, TOY, AND GAME MANUFACTURING",F
DRIED AND DEHYDRATED FOOD MANUFACTURING,F
DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,F
"DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR",F
"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",F
DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),F
EDUCATIONAL SUPPORT SERVICES,F
ELECTRIC BULK POWER TRANSMISSION AND CONTROL,F
ELECTRIC LAMP BULB AND PART MANUFACTURING,F
ELECTRIC POWER DISTRIBUTION,F
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",F
ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,F
ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,F
ELECTRONIC COMPUTER MANUFACTURING,F
ELECTRONIC CONNECTOR MANUFACTURING,F
EMERGENCY AND OTHER RELIEF SERVICES,F
EMPLOYMENT PLACEMENT AGENCIES,F
ENGINEERING SERVICES,F
"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",F
ENVIRONMENTAL CONSULTING SERVICES,F
EXAM PREPARATION AND TUTORING,F
EXECUTIVE OFFICES,F
EXPLOSIVES MANUFACTURING,F
EXTERMINATING AND PEST CONTROL SERVICES,F
FABRICATED PIPE AND PIPE FITTING MANUFACTURING,F
FABRICATED STRUCTURAL METAL MANUFACTURING,F
FACILITIES SUPPORT SERVICES,F
FARM MACHINERY AND EQUIPMENT MANUFACTURING,F
FATS AND OILS REFINING AND BLENDING,F
FERTILIZER (MIXING ONLY) MANUFACTURING,F
FIBER OPTIC CABLE MANUFACTURING,F
"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",F
FINFISH FARMING AND FISH HATCHERIES,F
FINFISH FISHING,F
FINISH CARPENTRY CONTRACTORS,F
FIRE PROTECTION,F
FITNESS AND RECREATIONAL SPORTS CENTERS,F
FLIGHT TRAINING,F
FLOORING CONTRACTORS,F
FLOUR MILLING,F
FLUID MILK MANUFACTURING,F
FLUID POWER CYLINDER AND ACTUATOR MANUFACTURING,F
FLUID POWER PUMP AND MOTOR MANUFACTURING,F
FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,F
FOOD PRODUCT MACHINERY MANUFACTURING,F
FOOD SERVICE CONTRACTORS,F
FOOTWEAR MANUFACTURING,F
FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,F
FOSSIL FUEL ELECTRIC POWER GENERATION,F
FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS,F
FREIGHT TRANSPORTATION ARRANGEMENT,F
FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,F
"FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING",F
FRUIT AND VEGETABLE CANNING,F
FULL-SERVICE RESTAURANTS,F
FURNITURE MERCHANT WHOLESALERS,F
"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",F
GENERAL AUTOMOTIVE REPAIR,F
"GENERAL FREIGHT TRUCKING, LOCAL",F
"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",F
GENERAL MEDICAL AND SURGICAL HOSPITALS,F
GENERAL RENTAL CENTERS,F
GENERAL WAREHOUSING AND STORAGE,F
GEOPHYSICAL SURVEYING AND MAPPING SERVICES,F
GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,F
GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,F
HARDWARE MANUFACTURING,F
HARDWARE MERCHANT WHOLESALERS,F
HARDWARE STORES,F
HAY FARMING,F
HAZARDOUS WASTE COLLECTION,F
HAZARDOUS WASTE TREATMENT AND DISPOSAL,F
HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING,F
HEAVY DUTY TRUCK MANUFACTURING,F
"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",F
HISTORICAL SITES,F
HOME CENTERS,F
HOME HEALTH CARE SERVICES,F
HOME HEALTH EQUIPMENT RENTAL,F
HOSIERY AND SOCK MILLS,F
HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,F
HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,F
"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",F
HYDROELECTRIC POWER GENERATION,F
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",F
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,F
INDUSTRIAL GAS MANUFACTURING,F
INDUSTRIAL LAUNDERERS,F
INDUSTRIAL MOLD MANUFACTURING,F
INDUSTRIAL PROCESS FURNACE AND OVEN MANUFACTURING,F
INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,F
"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",F
INDUSTRIAL VALVE MANUFACTURING,F
INLAND WATER FREIGHT TRANSPORTATION,F
INLAND WATER PASSENGER TRANSPORTATION,F
INSTITUTIONAL FURNITURE MANUFACTURING,F
INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,F
"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",F
INSURANCE AGENCIES AND BROKERAGES,F
INTERNATIONAL AFFAIRS,F
INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,F
INTERNET SERVICE PROVIDERS,F
INTERURBAN AND RURAL BUS TRANSPORTATION,F
INVESTIGATION SERVICES,F
INVESTMENT ADVICE,F
IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,F
IRON AND STEEL FORGING,F
IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING,F
IRRADIATION APPARATUS MANUFACTURING,F
JANITORIAL SERVICES,F
JUNIOR COLLEGES,F
KIDNEY DIALYSIS CENTERS,F
"LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING",F
LANDSCAPING SERVICES,F
LANGUAGE SCHOOLS,F
LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,F
LEGAL COUNSEL AND PROSECUTION,F
LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,F
LESSORS OF OTHER REAL ESTATE PROPERTY,F
LIBRARIES AND ARCHIVES,F
LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,F
LOCAL MESSENGERS AND LOCAL DELIVERY,F
LOCKSMITHS,F
"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",F
MACHINE SHOPS,F
MACHINE TOOL (METAL CUTTING TYPES) MANUFACTURING,F
MACHINE TOOL MANUFACTURING,F
MAJOR HOUSEHOLD APPLIANCE MANUFACTURING,F
MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,F
MARINAS,F
MARINE CARGO HANDLING,F
MARKETING CONSULTING SERVICES,F
MARKETING RESEARCH AND PUBLIC OPINION POLLING,F
MASONRY CONTRACTORS,F
MATERIALS RECOVERY FACILITIES,F
MATTRESS MANUFACTURING,F
"MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING",F
MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,F
MEDICAL LABORATORIES,F
"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",F
MEDICINAL AND BOTANICAL MANUFACTURING,F
MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,F
MEN'S AND BOYS' CUT AND SEW APPAREL MANUFACTURING,F
MEN'S CLOTHING STORES,F
METAL HOUSEHOLD FURNITURE MANUFACTURING,F
"METAL KITCHEN COOKWARE, UTENSIL, CUTLERY, AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING",F
METAL TANK (HEAVY GAUGE) MANUFACTURING,F
METAL WINDOW AND DOOR MANUFACTURING,F
"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",F
MINERAL WOOL MANUFACTURING,F
MISCELLANEOUS INTERMEDIATION,F
MIXED MODE TRANSIT SYSTEMS,F
MOBILE FOOD SERVICES,F
MORTGAGE AND NONMORTGAGE LOAN BROKERS,F
MOTION PICTURE AND VIDEO DISTRIBUTION,F
MOTION PICTURE AND VIDEO PRODUCTION,F
MOTOR AND GENERATOR MANUFACTURING,F
MOTOR VEHICLE BODY MANUFACTURING,F
MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING,F
MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,F
MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING,F
MOTOR VEHICLE METAL STAMPING,F
MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,F
MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,F
MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,F
MUSEUMS,F
NATIONAL SECURITY,F
NATURAL GAS DISTRIBUTION,F
NATURAL GAS EXTRACTION,F
NATURE PARKS AND OTHER SIMILAR INSTITUTIONS,F
NAVIGATIONAL SERVICES TO SHIPPING,F
NEW HOUSING FOR-SALE BUILDERS,F
NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),F
NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),F
NEWSPAPER PUBLISHERS,F
NONCHOCOLATE CONFECTIONERY MANUFACTURING,F
NONFERROUS FORGING,F
NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING,F
"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",F
NONRESIDENTIAL PROPERTY MANAGERS,F
NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,F
NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,F
NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,F
NONWOVEN FABRIC MILLS,F
NURSERY AND TREE PRODUCTION,F
NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),F
OFFICE ADMINISTRATIVE SERVICES,F
